DATE,Ammonia
2012-10-29,685.0
2012-11-05,685.0
2012-11-12,685.0
2012-11-19,685.0
2012-11-26,685.0
2012-12-03,685.0
2012-12-10,685.0
2012-12-17,685.0
2013-01-07,685.0
2013-01-14,685.0
2013-01-21,685.0
2013-01-28,640.0
2013-02-04,640.0
2013-02-11,640.0
2013-02-18,640.0
2013-02-25,640.0
2013-03-04,640.0
2013-03-11,640.0
2013-03-18,640.0
2013-03-25,600.0
2013-04-01,600.0
2013-04-08,600.0
2013-04-15,600.0
2013-04-22,600.0
2013-04-29,600.0
2013-05-06,600.0
2013-05-13,600.0
2013-05-20,600.0
2013-05-27,600.0
2013-06-03,600.0
2013-06-10,600.0
2013-06-17,600.0
2013-06-24,600.0
2013-07-01,600.0
2013-07-08,600.0
2013-07-15,600.0
2013-07-22,440.0
2013-07-29,440.0
2013-08-05,440.0
2013-08-12,440.0
2013-08-19,440.0
2013-08-26,440.0
2013-09-02,440.0
2013-09-09,440.0
2013-09-16,440.0
2013-09-23,440.0
2013-09-30,440.0
2013-10-07,440.0
2013-10-14,440.0
2013-10-21,440.0
2013-10-28,440.0
2013-11-04,440.0
2013-11-11,440.0
2013-11-18,440.0
2013-11-25,440.0
2013-12-02,440.0
2013-12-09,440.0
2013-12-16,382.0
2013-12-23,382.0
2014-01-06,382.0
2014-01-13,382.0
2014-01-20,382.0
2014-01-27,382.0
2014-02-03,382.0
2014-02-10,382.0
2014-02-17,382.0
2014-02-24,382.0
2014-03-03,382.0
2014-03-10,382.0
2014-03-17,382.0
2014-03-24,382.0
2014-03-31,382.0
2014-04-07,540.0
2014-04-14,540.0
2014-04-21,540.0
2014-04-28,540.0
2014-05-05,540.0
2014-05-12,540.0
2014-05-19,540.0
2014-05-26,540.0
2014-06-02,540.0
2014-06-09,540.0
2014-06-16,540.0
2014-06-23,540.0
2014-06-30,540.0
2014-07-07,540.0
2014-07-14,540.0
2014-07-21,540.0
2014-07-28,540.0
2014-08-04,540.0
2014-08-11,540.0
2014-08-18,540.0
2014-08-25,540.0
2014-09-01,540.0
2014-09-08,540.0
2014-09-15,565.0
2014-09-22,565.0
2014-09-29,565.0
2014-10-06,565.0
2014-10-13,565.0
2014-10-20,565.0
2014-10-27,565.0
2014-11-03,565.0
2014-11-10,565.0
2014-11-17,565.0
2014-11-24,565.0
2014-12-01,565.0
2014-12-08,565.0
2014-12-15,565.0
2014-12-22,565.0
2015-01-05,565.0
2015-01-12,565.0
2015-01-19,565.0
2015-01-26,565.0
2015-02-02,565.0
2015-02-09,565.0
2015-02-16,565.0
2015-02-23,565.0
2015-03-02,565.0
2015-03-09,565.0
2015-03-16,565.0
2015-03-23,565.0
2015-03-30,565.0
2015-04-06,565.0
2015-04-13,565.0
2015-04-20,565.0
2015-04-27,565.0
2015-05-04,565.0
2015-05-11,565.0
2015-05-18,565.0
2015-05-25,565.0
2015-06-01,565.0
2015-06-08,565.0
2015-07-13,457.0
2015-07-20,457.0
2015-07-27,457.0
2015-08-03,413.5
2015-08-10,413.5
2015-08-17,413.5
2015-08-24,413.5
2015-08-31,413.5
2015-09-07,450.0
2015-09-14,377.5
2015-09-21,345.0
2015-09-28,345.0
2015-10-05,345.0
2015-10-12,345.0
2015-10-19,345.0
2015-10-26,345.0
2015-11-02,415.0
2015-11-09,420.0
2015-11-16,420.0
2015-11-23,420.0
2015-11-30,420.0
2015-12-07,420.0
2015-12-14,420.0
2015-12-21,420.0
2016-01-01,420.0
2016-01-08,420.0
2016-01-15,420.0
2016-01-22,420.0
2016-01-29,307.5
2016-02-05,266.0
2016-02-12,266.0
2016-02-19,266.0
2016-02-26,266.0
2016-03-04,288.5
2016-03-11,288.5
2016-03-18,288.5
2016-03-25,288.5
2016-04-01,288.5
2016-04-08,288.5
2016-04-15,288.5
2016-04-22,288.5
2016-04-29,288.5
2016-05-06,288.5
2016-05-13,288.5
2016-05-20,277.5
2016-05-27,277.5
2016-06-03,277.5
2016-06-10,277.5
2016-06-17,277.5
2016-06-24,277.5
2016-07-01,277.5
2016-07-08,277.5
2016-07-15,277.5
2016-07-22,277.5
2016-07-29,262.5
2016-08-05,262.5
2016-08-12,262.5
2016-08-19,262.5
2016-08-26,229.5
2016-09-02,229.5
2016-09-09,215.0
2016-09-16,215.0
2016-09-23,215.0
2016-09-30,215.0
2016-10-07,207.5
2016-10-14,207.5
2016-10-21,207.5
2016-10-28,207.5
2016-11-04,207.5
2016-11-11,207.5
2016-11-18,207.5
2016-11-25,207.5
2016-12-02,207.5
2016-12-09,207.5
2016-12-16,207.5
2016-12-23,245.0
2017-01-06,257.0
2017-01-13,257.0
2017-01-20,257.0
2017-01-27,257.0
2017-02-03,257.0
2017-02-10,257.0
2017-02-17,310.0
2017-02-24,310.0
2017-03-03,310.0
2017-03-10,310.0
