DATE,HDPE
2013-05-10,1385.0
2013-05-17,1465.0
2013-05-24,1465.0
2013-05-31,1410.0
2013-06-07,1410.0
2013-06-14,1420.0
2013-06-21,1440.0
2013-06-28,1455.0
2013-07-05,1430.0
2013-07-12,1475.0
2013-07-19,1485.0
2013-07-26,1440.0
2013-08-02,1440.0
2013-08-09,1455.0
2013-08-16,1465.0
2013-08-23,1465.0
2013-08-30,1475.0
2013-09-06,1495.0
2013-09-13,1520.0
2013-09-20,1540.0
2013-09-27,1565.0
2013-10-04,1565.0
2013-10-11,1565.0
2013-10-18,1565.0
2013-10-25,1565.0
2013-11-08,1520.0
2013-11-15,1520.0
2013-11-22,1530.0
2013-11-29,1530.0
2013-12-06,1510.0
2013-12-13,1520.0
2013-12-20,1530.0
2013-12-27,1530.0
2014-01-03,1530.0
2014-01-10,1540.0
2014-01-17,1550.0
2014-01-24,1565.0
2014-01-31,1565.0
2014-02-07,1550.0
2014-02-14,1575.0
2014-02-21,1550.0
2014-02-28,1550.0
2014-03-07,1595.0
2014-03-14,1595.0
2014-03-21,1595.0
2014-03-28,1585.0
2014-04-04,1575.0
2014-04-11,1565.0
2014-04-18,1565.0
2014-04-25,1550.0
2014-05-02,1565.0
2014-05-09,1585.0
2014-05-16,1595.0
2014-05-23,1620.0
2014-05-30,1620.0
2014-06-06,1620.0
2014-06-13,1595.0
2014-06-20,1595.0
2014-06-27,1595.0
2014-07-04,1595.0
2014-07-11,1605.0
2014-07-18,1650.0
2014-07-25,1660.0
2014-08-01,1685.0
2014-08-08,1695.0
2014-08-15,1695.0
2014-08-22,1695.0
2014-08-29,1695.0
2014-09-05,1720.0
2014-09-12,1730.0
2014-09-19,1730.0
2014-09-26,1720.0
2014-10-03,1720.0
2014-10-10,1720.0
2014-10-17,1695.0
2014-10-24,1685.0
2014-10-31,1685.0
2014-11-07,1665.0
2014-11-14,1650.0
2014-11-21,1620.0
2014-11-28,1575.0
2014-12-05,1530.0
2014-12-12,1510.0
2014-12-19,1475.0
2014-12-26,1475.0
2015-01-02,1475.0
2015-01-09,1310.0
2015-01-16,1290.0
2015-01-23,1255.0
2015-01-30,1190.0
2015-02-06,1155.0
2015-02-13,1175.0
2015-02-20,1210.0
2015-02-27,1245.0
2015-03-06,1225.0
2015-03-13,1235.0
2015-03-20,1235.0
2015-03-27,1215.0
2015-04-03,1230.0
2015-04-10,1250.0
2015-04-17,1250.0
2015-04-24,1295.0
2015-05-01,1320.0
2015-05-08,1375.0
2015-05-15,1385.0
2015-05-22,1375.0
2015-05-29,1395.0
2015-06-05,1405.0
2015-06-12,1385.0
2015-06-19,1385.0
2015-06-26,1350.0
2015-07-03,1340.0
2015-07-10,1295.0
2015-07-17,1315.0
2015-07-24,1260.0
2015-07-31,1230.0
2015-08-07,1205.0
2015-08-14,1185.0
2015-08-21,1130.0
2015-08-28,1110.0
2015-09-04,1095.0
2015-09-11,1110.0
2015-09-18,1130.0
2015-09-25,1130.0
2015-10-02,1090.0
2015-10-09,1110.0
2015-10-16,1130.0
2015-10-23,1145.0
2015-10-30,1130.0
2015-11-06,1160.0
2015-11-13,1175.0
2015-11-20,1160.0
2015-11-27,1120.0
2015-12-04,1105.0
2015-12-11,1045.0
2015-12-18,1055.0
2015-12-25,1055.0
2016-01-01,1055.0
2016-01-08,1095.0
2016-01-15,1090.0
2016-01-22,1045.0
2016-01-29,1020.0
2016-02-05,990.0
2016-02-12,990.0
2016-02-19,995.0
2016-02-26,1015.0
2016-03-04,1040.0
2016-03-11,1085.0
2016-03-18,1085.0
2016-03-25,1120.0
2016-04-01,1105.0
2016-04-08,1140.0
2016-04-15,1185.0
2016-04-22,1185.0
2016-04-29,1195.0
2016-05-06,1165.0
