DATE,MBA_mortgage_chng
2000-01-07,8.6
2000-01-14,14.0
2000-01-21,-0.5
2000-01-28,0.4
2000-02-04,6.5
2000-02-11,-12.4
2000-02-18,-4.4
2000-02-25,5.6
2000-03-03,5.5
2000-03-10,-1.2
2000-03-17,0.2
2000-03-24,7.2
2000-03-31,-7.0
2000-04-07,7.7
2000-04-14,-4.6
2000-04-21,-0.1
2000-04-28,-1.2
2000-05-05,6.2
2000-05-12,-6.8
2000-05-19,3.4
2000-05-26,-8.1
2000-06-02,15.9
2000-06-09,-6.0
2000-06-16,-1.0
2000-06-23,-0.5
2000-06-30,4.3
2000-07-07,-5.5
2000-07-14,11.1
2000-07-21,-5.1
2000-07-28,-2.3
2000-08-04,6.3
2000-08-11,-1.7
2000-08-18,-5.8
2000-08-25,1.7
2000-09-01,2.8
2000-09-08,6.7
2000-09-15,-1.9
2000-09-22,-2.3
2000-09-29,4.1
2000-10-06,-4.2
2000-10-13,3.2
2000-10-20,0.7
2000-10-27,4.4
2000-11-03,1.3
2000-11-10,5.5
2000-11-17,-7.9
2000-11-24,-1.1
2000-12-01,10.3
2000-12-08,5.9
2000-12-15,-8.1
2000-12-22,-4.9
2000-12-29,-15.7
2001-01-05,61.1
2001-01-12,44.6
2001-01-19,-14.3
2001-01-26,-8.2
2001-02-02,18.8
2001-02-09,-3.7
2001-02-16,-7.5
2001-02-23,-2.7
2001-03-02,15.1
2001-03-09,-10.5
2001-03-16,-3.9
2001-03-23,18.5
2001-03-30,-1.4
2001-04-06,-5.3
2001-04-13,-7.0
2001-04-20,-6.6
2001-04-27,9.9
2001-05-04,-4.9
2001-05-11,0.3
2001-05-18,-15.2
2001-05-25,4.3
2001-06-01,5.2
2001-06-08,6.1
2001-06-15,-7.8
2001-06-22,-5.4
2001-06-29,0.8
2001-07-06,-11.1
2001-07-13,8.3
2001-07-20,8.7
2001-07-27,-0.4
2001-08-03,3.6
2001-08-10,-3.2
2001-08-17,0.3
2001-08-24,8.3
2001-08-31,11.9
2001-09-07,-2.6
2001-09-14,-11.4
2001-09-21,20.0
2001-09-28,20.5
2001-10-05,11.5
2001-10-12,18.1
2001-10-19,-11.6
2001-10-26,-6.0
2001-11-02,23.0
2001-11-09,1.7
2001-11-16,-6.6
2001-11-23,-8.2
2001-11-30,-17.6
2001-12-07,-7.0
2001-12-14,-18.9
2001-12-21,-4.8
2001-12-28,-17.9
2002-01-04,29.9
2002-01-11,1.9
2002-01-18,24.4
2002-01-25,-25.5
2002-02-01,5.3
2002-02-08,2.5
2002-02-15,-8.8
2002-02-22,3.9
2002-03-01,14.5
2002-03-08,-16.0
2002-03-15,-11.0
2002-03-22,4.9
2002-03-29,-1.9
2002-04-05,-4.8
2002-04-12,1.9
2002-04-19,4.9
2002-04-26,9.2
2002-05-03,8.1
2002-05-10,-8.7
2002-05-17,-5.6
2002-05-24,2.8
2002-05-31,13.6
2002-06-07,-5.5
2002-06-14,1.9
2002-06-21,24.8
2002-06-28,0.4
2002-07-05,3.3
2002-07-12,-1.3
2002-07-19,12.9
2002-07-26,23.2
2002-08-02,6.2
2002-08-09,-5.1
2002-08-16,11.4
2002-08-23,-4.2
2002-08-30,-1.9
2002-09-06,16.9
2002-09-13,-8.7
2002-09-20,4.8
2002-09-27,8.6
2002-10-04,2.5
2002-10-11,-2.2
2002-10-18,-12.4
2002-10-25,-19.3
2002-11-01,13.1
2002-11-08,-3.7
2002-11-15,21.0
2002-11-22,-5.8
2002-11-29,-17.0
2002-12-06,-8.1
2002-12-13,14.2
2002-12-20,-7.8
2002-12-27,4.7
2003-01-03,24.3
2003-01-10,-2.4
2003-01-17,-4.7
2003-01-24,6.4
2003-01-31,-2.5
2003-02-07,-5.1
2003-02-14,0.0
2003-02-21,5.5
2003-02-28,10.8
2003-03-07,26.7
2003-03-14,4.4
2003-03-21,-9.1
2003-03-28,-17.0
2003-04-04,-1.3
2003-04-11,-8.9
2003-04-18,-6.9
2003-04-25,-0.5
2003-05-02,18.6
2003-05-09,13.7
2003-05-16,10.2
2003-05-23,4.6
2003-05-30,13.6
2003-06-06,-9.3
2003-06-13,1.0
2003-06-20,-8.7
2003-06-27,5.2
2003-07-04,-17.7
2003-07-11,0.9
2003-07-18,-5.4
2003-07-25,-24.3
2003-08-01,1.1
2003-08-08,-16.1
2003-08-15,-10.7
2003-08-22,-13.3
2003-08-29,-1.6
2003-09-05,22.8
2003-09-12,-5.8
2003-09-19,-3.7
2003-09-26,1.1
2003-10-03,15.6
2003-10-10,-20.5
2003-10-17,0.5
2003-10-24,-0.5
2003-10-31,5.5
2003-11-07,-8.6
2003-11-14,5.9
2003-11-21,16.9
2003-11-28,-11.7
2003-12-05,-12.2
2003-12-12,12.6
2003-12-19,-6.8
2003-12-26,-9.0
2004-01-02,4.5
2004-01-09,17.1
2004-01-16,30.4
2004-01-23,-5.2
2004-01-30,-1.5
2004-02-06,-6.8
2004-02-13,4.9
2004-02-20,2.1
2004-02-27,2.8
2004-03-05,1.2
2004-03-12,25.6
2004-03-19,-0.2
2004-03-26,-2.1
2004-04-02,-7.2
2004-04-09,-22.1
2004-04-16,-5.6
2004-04-23,0.5
2004-04-30,4.4
2004-05-07,-5.0
2004-05-14,-11.9
2004-05-21,-3.3
2004-05-28,-1.2
2004-06-04,-8.9
2004-06-11,5.6
2004-06-18,0.1
2004-06-25,-4.4
2004-07-02,19.5
2004-07-09,-6.3
2004-07-16,-4.0
2004-07-23,0.6
2004-07-30,-0.2
2004-08-06,-0.7
2004-08-13,11.9
2004-08-20,-6.3
2004-08-27,-0.6
2004-09-03,7.7
2004-09-10,-2.0
2004-09-17,1.8
2004-09-24,4.9
2004-10-01,0.0
2004-10-08,-9.2
2004-10-15,7.9
2004-10-22,-0.8
2004-10-29,8.2
2004-11-05,-4.5
2004-11-12,4.3
2004-11-19,-5.7
2004-11-26,-5.8
2004-12-03,3.4
2004-12-10,-1.0
2004-12-17,0.0
2004-12-24,-1.7
2004-12-31,-10.6
2005-01-07,-3.0
2005-01-14,16.2
2005-01-21,-3.6
2005-01-28,7.3
2005-02-04,4.2
2005-02-11,-0.5
2005-02-18,-0.6
