DATE,Naphtha
2000-01-04,224.0
2000-01-05,225.0
2000-01-06,220.0
2000-01-07,218.0
2000-01-11,225.0
2000-01-12,226.0
2000-01-13,231.0
2000-01-14,230.5
2000-01-17,243.5
2000-01-18,247.5
2000-01-19,247.5
2000-01-20,246.5
2000-01-21,249.5
2000-01-24,252.5
2000-01-25,246.0
2000-01-26,247.5
2000-01-27,240.5
2000-01-28,240.0
2000-01-31,238.5
2000-02-01,244.5
2000-02-02,245.5
2000-02-03,243.5
2000-02-04,245.5
2000-02-08,246.5
2000-02-09,247.0
2000-02-10,251.0
2000-02-11,259.0
2000-02-14,259.0
2000-02-15,261.5
2000-02-16,260.5
2000-02-17,260.5
2000-02-18,263.0
2000-02-21,263.0
2000-02-22,256.5
2000-02-23,259.0
2000-02-24,262.0
2000-02-25,264.0
2000-02-28,268.5
2000-02-29,266.0
2000-03-01,269.0
2000-03-02,279.0
2000-03-03,283.0
2000-03-06,286.0
2000-03-07,298.0
2000-03-08,318.0
2000-03-09,306.0
2000-03-10,288.5
2000-03-13,285.0
2000-03-14,285.0
2000-03-15,285.0
2000-03-17,277.0
2000-03-20,277.0
2000-03-21,266.08
2000-03-22,268.5
2000-03-23,266.5
2000-03-24,272.5
2000-03-27,267.5
2000-03-28,266.0
2000-03-29,263.5
2000-03-30,252.5
2000-03-31,253.5
2000-04-03,245.5
2000-04-04,243.5
2000-04-05,233.5
2000-04-06,235.5
2000-04-07,240.5
2000-04-10,227.0
2000-04-11,218.5
2000-04-12,221.0
2000-04-13,229.5
2000-04-14,228.5
2000-04-17,225.5
2000-04-18,236.5
2000-04-19,241.5
2000-04-20,245.5
2000-04-25,246.5
2000-04-26,246.5
2000-04-27,237.5
2000-04-28,245.0
2000-05-02,245.0
2000-05-03,248.0
2000-05-04,241.5
2000-05-05,239.5
2000-05-08,241.5
2000-05-09,243.5
2000-05-10,243.5
2000-05-11,245.5
2000-05-12,252.5
2000-05-15,256.5
2000-05-16,268.0
2000-05-17,268.5
2000-05-19,270.0
2000-05-22,275.0
2000-05-23,263.0
2000-05-24,260.0
2000-05-25,267.0
2000-05-26,270.0
2000-05-29,260.0
2000-05-30,255.0
2000-05-31,248.0
2000-06-01,251.0
2000-06-02,257.0
2000-06-05,265.0
2000-06-06,266.0
2000-06-07,270.0
2000-06-08,263.0
2000-06-09,265.0
2000-06-12,276.5
2000-06-13,286.0
2000-06-14,277.0
2000-06-15,278.0
2000-06-16,264.0
2000-06-19,262.0
2000-06-20,261.0
2000-06-21,270.0
2000-06-22,263.0
2000-06-23,272.0
2000-06-26,275.0
2000-06-27,279.0
2000-06-28,282.0
2000-06-29,284.0
2000-06-30,283.0
2000-07-03,283.0
2000-07-04,287.0
2000-07-05,274.0
2000-07-06,275.0
2000-07-07,267.0
2000-07-10,269.0
2000-07-11,262.0
2000-07-12,264.0
2000-07-13,273.0
2000-07-14,275.0
2000-07-17,267.0
2000-07-18,266.0
2000-07-19,271.0
2000-07-20,270.0
2000-07-21,272.0
2000-07-24,265.0
2000-07-25,262.0
2000-07-26,260.0
2000-07-27,259.0
2000-07-28,261.0
2000-07-31,267.0
2000-08-01,258.5
2000-08-02,265.0
2000-08-03,264.0
2000-08-04,271.0
2000-08-07,275.0
2000-08-08,269.0
2000-08-10,275.0
2000-08-11,283.0
2000-08-14,280.0
2000-08-15,287.0
2000-08-16,283.0
2000-08-17,289.0
2000-08-18,303.0
2000-08-21,303.5
2000-08-22,307.0
2000-08-23,304.0
2000-08-24,307.0
2000-08-25,295.0
2000-08-28,302.5
