DATE,PET
2012-11-26,10150.0
2012-12-03,10350.0
2012-12-10,10625.0
2012-12-17,10725.0
2012-12-24,10775.0
2012-12-31,10925.0
2013-01-07,11300.0
2013-01-14,11375.0
2013-01-21,11350.0
2013-01-28,11325.0
2013-02-04,11450.0
2013-02-11,11450.0
2013-02-18,11450.0
2013-02-25,11400.0
2013-03-04,11100.0
2013-03-11,11000.0
2013-03-18,10700.0
2013-03-25,10525.0
2013-04-01,10625.0
2013-04-08,10150.0
2013-04-15,10300.0
2013-04-22,10150.0
2013-04-29,10100.0
2013-05-06,10125.0
2013-05-13,10250.0
2013-05-20,10175.0
2013-05-27,10175.0
2013-06-03,10050.0
2013-06-10,9925.0
2013-06-17,9875.0
2013-06-24,9850.0
2013-07-01,9750.0
2013-07-08,9750.0
2013-07-15,9775.0
2013-07-22,9775.0
2013-07-29,10075.0
2013-08-05,10125.0
2013-08-12,10200.0
2013-08-19,10300.0
2013-08-26,10325.0
2013-09-02,10325.0
2013-09-09,10250.0
2013-09-16,10225.0
2013-09-23,10225.0
2013-09-30,10200.0
2013-10-07,10200.0
2013-10-14,10100.0
2013-10-21,9975.0
2013-10-28,9925.0
2013-11-04,9825.0
2013-11-11,9700.0
2013-11-18,9800.0
2013-11-25,9925.0
2013-12-02,9950.0
2013-12-09,10000.0
2013-12-16,10025.0
2013-12-23,9975.0
2013-12-30,9927.08
2014-01-06,9877.08
2014-01-13,9809.62
2014-01-20,9771.16
2014-01-27,9707.69
2014-02-03,9707.69
2014-02-10,9653.84
2014-02-17,9600.0
2014-02-24,9509.62
2014-03-03,9378.84
2014-03-10,9361.54
2014-03-17,9340.38
2014-03-24,9390.39
2014-03-31,9467.31
2014-04-07,9500.0
2014-04-14,9494.23
2014-04-21,9498.08
2014-04-28,9500.0
2014-05-05,9500.0
2014-05-12,9473.08
2014-05-19,9426.92
2014-05-26,9430.77
2014-06-09,9573.08
2014-06-16,9684.62
2014-06-23,9817.31
2014-06-30,9946.16
2014-07-07,9940.39
2014-07-14,9884.62
2014-07-21,9861.54
2014-07-28,9884.62
2014-08-04,9875.0
2014-08-11,9863.46
2014-08-18,9840.44
2014-08-25,9805.77
2014-09-01,9723.08
2014-09-08,9630.77
2014-09-15,9505.77
2014-09-22,9425.0
2014-09-29,9386.54
2014-10-06,9355.77
2014-10-13,9228.85
2014-10-20,9126.92
