DATE,Titanium_dioxide
2012-11-26,17608.34
2012-12-03,17458.34
2012-12-10,17215.0
2012-12-17,17023.34
2012-12-24,16890.0
2012-12-31,16828.34
2013-01-07,16811.67
2013-01-14,16748.33
2013-01-21,16643.34
2013-01-28,16626.67
2013-02-04,16626.67
2013-02-11,16626.67
2013-02-18,16626.67
2013-02-25,16626.67
2013-03-04,16600.0
2013-03-11,16571.67
2013-03-18,16393.33
2013-03-25,16393.33
2013-04-01,16470.0
2013-04-08,16308.34
2013-04-15,16270.0
2013-04-22,16100.0
2013-04-29,15982.18
2013-05-06,15841.38
2013-05-13,15694.83
2013-05-20,15544.83
2013-05-27,15434.49
2013-06-03,15325.86
2013-06-10,15121.43
2013-06-17,14966.07
2013-06-24,14855.36
2013-07-01,14780.36
2013-07-08,14726.79
2013-07-15,14671.43
2013-07-22,14685.72
2013-07-29,14616.08
2013-08-05,14573.22
2013-08-12,14517.86
2013-08-19,14478.57
2013-08-26,14487.5
2013-09-02,14526.79
2013-09-09,14569.64
2013-09-16,14578.57
2013-09-23,14589.29
2013-09-30,14592.86
2013-10-07,14616.08
2013-10-14,14664.29
2013-10-21,14700.0
2013-10-28,14710.71
2013-11-04,14710.71
2013-11-11,14685.71
2013-11-18,14660.71
2013-11-25,14646.43
2013-12-02,14566.07
2013-12-09,14453.57
2013-12-16,14371.43
2013-12-23,14266.17
2013-12-30,14146.3
2014-01-06,14057.41
2014-01-13,13959.26
2014-01-20,13809.26
2014-01-27,13712.97
2014-02-03,13707.41
2014-02-10,13698.15
2014-02-17,13657.41
2014-02-24,13579.63
2014-03-03,13477.78
2014-03-10,13375.93
2014-03-17,13274.08
2014-03-24,13168.52
2014-03-31,13073.26
2014-04-07,13012.0
2014-04-14,13026.0
2014-04-21,13086.0
2014-04-28,13134.0
2014-05-05,13192.0
2014-05-12,13262.0
2014-05-19,13292.0
2014-05-26,13292.0
2014-06-09,13322.0
2014-06-16,13356.0
2014-06-23,13360.0
2014-06-30,13384.0
2014-07-07,13442.0
2014-07-14,13464.0
2014-07-21,13464.0
2014-07-28,13464.0
2014-08-04,13518.0
2014-08-11,13590.0
2014-08-18,13630.0
2014-08-25,13636.0
2014-09-01,13672.0
2014-09-08,13740.0
2014-09-15,13816.0
2014-09-22,13848.0
2014-09-29,13848.0
2014-10-06,13848.0
2014-10-13,13860.0
2014-10-20,13860.0
2014-10-27,13860.0
2014-11-03,13838.0
2014-11-10,13766.0
2014-11-17,13688.0
2014-11-24,13586.0
2014-12-01,13494.0
2014-12-08,13390.0
2014-12-15,13508.0
2014-12-22,13102.0
2014-12-29,13020.0
2015-01-05,12898.18
2015-01-12,12748.01
2015-01-19,12677.04
2015-01-26,12662.5
2015-02-02,12672.92
2015-02-09,12683.33
2015-02-16,12683.33
2015-02-23,12683.33
2015-03-02,12689.58
2015-03-09,12695.83
2015-03-16,12718.75
2015-03-23,12793.75
2015-03-30,12868.75
2015-04-06,12925.0
2015-04-13,12993.75
2015-04-20,13077.09
2015-04-27,13116.67
2015-05-04,13147.92
2015-05-11,13229.17
2015-05-18,13300.0
2015-05-25,13343.75
2015-06-01,13354.17
2015-06-08,13354.17
2015-06-15,13331.25
2015-06-22,13197.92
2015-06-29,13029.17
2015-07-06,12702.09
