DATE,Urea
2000-01-03,109.5
2000-01-10,112.5
2000-01-17,116.0
2000-01-24,122.5
2000-01-31,130.0
2000-02-07,133.5
2000-02-14,141.0
2000-02-21,147.5
2000-02-28,147.5
2000-03-06,145.0
2000-03-13,145.0
2000-03-20,145.0
2000-03-27,141.0
2000-04-03,141.0
2000-04-10,138.5
2000-04-17,138.5
2000-04-24,138.5
2000-05-01,137.0
2000-05-08,137.0
2000-05-15,131.0
2000-05-22,125.0
2000-05-29,120.0
2000-06-05,131.0
2000-06-12,146.0
2000-06-19,153.5
2000-06-26,160.0
2000-07-03,162.0
2000-07-10,162.0
2000-07-17,162.0
2000-07-24,152.5
2000-07-31,150.5
2000-08-07,150.0
2000-08-14,149.5
2000-08-21,150.0
2000-08-28,146.5
2000-09-04,146.0
2000-09-11,145.0
2000-09-18,143.0
2000-09-25,143.5
2000-10-02,143.5
2000-10-09,147.0
2000-10-16,148.5
2000-10-23,149.0
2000-10-30,149.0
2000-11-06,149.0
2000-11-13,148.5
2000-11-20,148.5
2000-11-27,148.5
2000-12-04,147.0
2000-12-11,149.5
2000-12-18,159.5
2001-01-01,175.0
2001-01-08,197.5
2001-01-15,202.5
2001-01-22,207.5
2001-01-29,206.5
2001-02-05,200.0
2001-02-12,198.5
2001-02-19,198.0
2001-02-26,198.0
2001-03-05,198.0
2001-03-12,198.0
2001-03-19,189.0
2001-03-26,186.5
2001-04-02,181.0
2001-04-09,177.5
2001-04-16,172.5
2001-04-23,167.5
2001-04-30,149.5
2001-05-07,142.5
2001-05-14,127.5
2001-05-21,125.0
2001-05-28,115.0
2001-06-04,102.5
2001-06-11,96.5
2001-06-18,96.5
2001-06-25,98.5
2001-07-02,106.5
2001-07-09,106.5
2001-07-16,106.5
2001-07-23,105.0
2001-07-30,100.5
2001-08-06,104.0
2001-08-13,104.0
2001-08-20,104.0
2001-08-27,104.0
2001-09-03,104.0
2001-09-10,105.0
2001-09-17,106.5
2001-09-24,109.5
2001-10-01,113.5
2001-10-08,116.0
2001-10-15,113.0
2001-10-22,113.5
2001-10-29,111.5
2001-11-05,109.5
2001-11-12,106.5
2001-11-19,106.5
2001-11-26,106.5
2001-12-03,106.5
2001-12-10,107.0
2001-12-17,106.0
2002-01-07,104.0
2002-01-14,103.5
2002-01-21,102.0
2002-01-28,102.0
2002-02-04,101.5
2002-02-11,99.0
2002-02-18,98.0
2002-02-25,97.0
2002-03-04,98.5
2002-03-11,98.5
2002-03-18,99.0
2002-03-25,99.0
2002-04-01,99.0
2002-04-08,99.0
2002-04-15,99.0
2002-04-22,99.0
2002-04-29,99.0
2002-05-06,101.5
2002-05-13,106.0
2002-05-20,110.0
2002-05-27,115.5
2002-06-03,121.0
2002-06-10,123.0
2002-06-17,125.5
2002-06-24,124.5
2002-07-01,124.5
2002-07-08,122.0
2002-07-15,119.0
2002-07-22,119.5
2002-07-29,120.0
2002-08-05,124.5
2002-08-12,124.0
2002-08-19,125.0
2002-08-26,125.0
2002-09-02,125.0
2002-09-09,124.0
2002-09-16,124.0
2002-09-23,122.0
2002-09-30,122.5
2002-10-07,123.0
2002-10-14,123.0
2002-10-21,123.0
2002-10-28,122.0
2002-11-04,126.0
2002-11-11,127.5
2002-11-18,127.5
2002-11-25,127.5
2002-12-02,127.5
2002-12-09,127.5
2002-12-16,127.5
2002-12-23,130.0
2003-01-06,136.0
2003-01-13,141.5
2003-01-20,146.0
2003-01-27,152.0
2003-02-03,155.5
2003-02-10,157.0
2003-02-17,165.5
2003-02-24,167.5
2003-03-03,176.0
2003-03-10,196.5
2003-03-17,192.5
2003-03-24,187.5
2003-03-31,178.5
2003-04-07,178.5
2003-04-14,174.0
2003-04-21,171.5
2003-04-28,167.5
2003-05-05,165.0
2003-05-12,165.0
2003-05-19,162.0
2003-05-26,163.5
2003-06-02,163.5
2003-06-09,164.0
2003-06-16,161.5
2003-06-23,161.0
2003-06-30,164.5
2003-07-07,171.0
2003-07-14,171.0
2003-07-21,168.5
2003-07-28,162.5
2003-08-04,161.0
2003-08-11,162.5
2003-08-18,164.5
2003-08-25,166.5
2003-09-01,172.5
2003-09-08,173.5
2003-09-15,177.0
2003-09-22,179.0
2003-09-29,179.0
2003-10-06,177.5
2003-10-13,178.5
2003-10-20,179.0
2003-10-27,186.5
2003-11-03,189.5
